lab_id,product,target_url,port,candidate_exploit_family,rank,rank_score,is_top1,is_recommended,family_risk_prior,evidence_source_count,has_zap_evidence,has_nuclei_evidence,has_wapiti_evidence,has_nikto_evidence,zap_finding_count,nuclei_finding_count,nikto_finding_count,wapiti_finding_count,observed_title_count,observed_tech_count,service_product_count,service_version_count,observed_titles_text,observed_tech_text,service_products_text,service_versions_text,evidence_sources_text,label_source,label_warning
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,sensitive-data-exposure,7,0.35,0,0,0.34,1,0,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
mutillidae-nowasp,OWASP Mutillidae / NOWASP,http://127.0.0.1:25004,25004,generic-web,8,0.21,0,0,0.2,1,1,0,0,0,40,0,0,0,1,4,1,1,Database Offline,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,nosql-injection,1,0.7,1,1,0.88,1,0,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,sqli,2,0.685,0,1,0.92,1,0,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,xss,3,0.65,0,0,0.55,2,1,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,broken-access-control,4,0.525,0,0,0.62,1,0,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,auth-bypass,5,0.51,0,0,0.7,1,0,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,command-injection,6,0.51,0,0,0.95,1,1,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,ssrf,7,0.43,0,0,0.66,1,0,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,sensitive-data-exposure,8,0.385,0,0,0.34,1,0,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-juice-shop,OWASP Juice Shop,http://127.0.0.1:25000,25000,generic-web,9,0.21,0,0,0.2,1,1,0,0,0,9,0,0,0,1,0,0,0,OWASP Juice Shop,none,none,none,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,sqli,1,0.72,1,1,0.92,1,0,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,xxe,2,0.655,0,1,0.82,1,0,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,jwt,3,0.57,0,0,0.68,1,0,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,deserialization,4,0.55,0,0,0.82,1,0,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,xss,5,0.545,0,0,0.55,2,1,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,broken-access-control,6,0.525,0,0,0.62,1,0,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,command-injection,7,0.51,0,0,0.95,1,1,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,auth-bypass,8,0.44,0,0,0.7,1,0,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
owasp-webgoat,OWASP WebGoat,http://127.0.0.1:25001,25001,generic-web,9,0.21,0,0,0.2,1,1,0,0,0,3,0,0,0,3,1,1,0,HTTP Status 404 – Not Found | HTTP Status 404 – Not Found | Login Page,Bootstrap,Apache Tomcat,none,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
