target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
aria2_rce,adminer,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,appweb,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,aria2,aria2,positive_family_match,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.7
aria2_rce,couchdb,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,druid,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,drupal,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,elasticsearch,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,flask,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,goahead,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,gogs,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,grafana,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,jenkins,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,jetty,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,joomla,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,nextjs,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,nexus,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,nginx,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,phpmyadmin,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,rails,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
aria2_rce,redis,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6
aria2_rce,shiro,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
